"website","update"
"https://statcompute.wordpress.com/feed","2021-08-31"
"https://www.statsjoke.me/posts/index.xml","2021-08-31"
"https://zhuhao.org/post/index.xml","2021-08-31"
"https://zhuhao.org/zh-cn/post/index.xml","2021-08-31"
"https://swsoyee.vercel.app/index.xml","2021-08-31"
"http://shichen.name/index.xml","2021-08-31"
"https://xiaokai.me/post/index.xml","2021-08-31"
"https://simplystatistics.org/index.xml","2021-08-31"
"https://www.liechi.org/index.xml","2021-11-27"
"https://jiangjun.netlify.app/index.xml","2022-01-16"
"https://www.statistics.com/blog/feed","2022-02-19"
"https://www.apreshill.com/blog/index.xml","2022-04-05"
"https://www.njtierney.com/post/index.xml","2022-04-12"
"https://shrektan.com/index.xml","2022-05-29"
"https://xiangyun.rbind.io/index.xml","2022-06-09"
"https://data-se.netlify.app/index.xml","2022-06-14"
"https://alison.rbind.io/index.xml","2022-06-22"
"https://yihui.org/index.xml","2022-06-23"
"https://yihui.name/index.xml","2022-06-23"
"https://developer.r-project.org/Blog/public/index.xml","2022-07-01"
"http://zll-blog.netlify.app/index.xml","2022-07-09"
"https://yufree.cn/en/index.xml","2022-07-12"
"https://cxy.rbind.io/index.xml","2022-07-13"
"freakonometrics.hypotheses.org/feed","2022-07-13"
"https://yufree.cn/cn/index.xml","2022-07-19"
"https://rviews.rstudio.com/index.xml","2022-07-22"
"https://blog.rstudio.com/index.xml","2022-07-22"
"https://robjhyndman.com/index.xml","2022-07-22"
"https://www.r-bloggers.com/feed","2022-07-22"
"https://statmodeling.stat.columbia.edu/feed/","2022-07-22"
